,Match_ID,Div,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,rainy_days,rainy_wins
0,1219,D1,2011,2011-08-05,Dortmund,Hamburg,3,1,H,rain,
1,1194,D1,2011,2011-08-06,Augsburg,Freiburg,2,2,D,rain,
2,1237,D1,2011,2011-08-06,Werder Bremen,Kaiserslautern,2,0,H,rain,
3,1292,D1,2011,2011-08-06,Hertha,Nurnberg,0,1,A,rain,Nurnberg
4,1311,D1,2011,2011-08-06,Stuttgart,Schalke 04,3,0,H,rain,
5,1466,D1,2011,2011-08-06,FC Koln,Wolfsburg,0,3,A,rain,Wolfsburg
6,1648,D1,2011,2011-08-06,Hannover,Hoffenheim,2,1,H,rain,
7,1276,D1,2011,2011-08-07,Mainz,Leverkusen,2,0,H,rain,
8,1491,D1,2011,2011-08-07,Bayern Munich,M'gladbach,0,1,A,rain,M'gladbach
9,1094,D1,2011,2011-08-13,Wolfsburg,Bayern Munich,0,1,A,none,
10,1113,D1,2011,2011-08-13,Hoffenheim,Dortmund,1,0,H,none,
11,1180,D1,2011,2011-08-13,Schalke 04,FC Koln,5,1,H,none,
12,1325,D1,2011,2011-08-13,M'gladbach,Stuttgart,1,1,D,none,
13,1371,D1,2011,2011-08-13,Nurnberg,Hannover,1,2,A,none,
14,1405,D1,2011,2011-08-13,Hamburg,Hertha,2,2,D,none,
15,1417,D1,2011,2011-08-13,Freiburg,Mainz,1,2,A,none,
16,1343,D1,2011,2011-08-14,Leverkusen,Werder Bremen,1,0,H,rain,
17,1633,D1,2011,2011-08-14,Kaiserslautern,Augsburg,1,1,D,rain,
18,1477,D1,2011,2011-08-19,M'gladbach,Wolfsburg,4,1,H,rain,
19,1199,D1,2011,2011-08-20,Werder Bremen,Freiburg,5,3,H,none,
20,1211,D1,2011,2011-08-20,Bayern Munich,Hamburg,5,0,H,none,
21,1239,D1,2011,2011-08-20,FC Koln,Kaiserslautern,1,1,D,none,
22,1278,D1,2011,2011-08-20,Stuttgart,Leverkusen,0,1,A,none,
23,1295,D1,2011,2011-08-20,Dortmund,Nurnberg,2,0,H,none,
24,1650,D1,2011,2011-08-20,Augsburg,Hoffenheim,0,2,A,none,
25,1312,D1,2011,2011-08-21,Mainz,Schalke 04,2,4,A,none,
26,1404,D1,2011,2011-08-21,Hannover,Hertha,1,1,D,none,
27,1316,D1,2011,2011-08-26,Hertha,Stuttgart,1,0,H,rain,
28,1104,D1,2011,2011-08-27,Kaiserslautern,Bayern Munich,0,3,A,rain,Bayern Munich
29,1109,D1,2011,2011-08-27,Leverkusen,Dortmund,0,0,D,rain,
30,1191,D1,2011,2011-08-27,Hamburg,FC Koln,3,4,A,rain,FC Koln
31,1345,D1,2011,2011-08-27,Hoffenheim,Werder Bremen,1,2,A,rain,Werder Bremen
32,1482,D1,2011,2011-08-27,Freiburg,Wolfsburg,3,0,H,rain,
33,1619,D1,2011,2011-08-27,Nurnberg,Augsburg,1,0,H,rain,
34,1427,D1,2011,2011-08-28,Hannover,Mainz,1,1,D,none,
35,1486,D1,2011,2011-08-28,Schalke 04,M'gladbach,1,0,H,none,
36,1273,D1,2011,2011-09-09,Augsburg,Leverkusen,1,4,A,rain,Leverkusen
37,1197,D1,2011,2011-09-10,Bayern Munich,Freiburg,7,0,H,rain,
38,1218,D1,2011,2011-09-10,Werder Bremen,Hamburg,2,0,H,rain,
39,1236,D1,2011,2011-09-10,M'gladbach,Kaiserslautern,1,0,H,rain,
40,1379,D1,2011,2011-09-10,Stuttgart,Hannover,3,0,H,rain,
41,1407,D1,2011,2011-09-10,Dortmund,Hertha,1,2,A,rain,Hertha
42,1646,D1,2011,2011-09-10,Mainz,Hoffenheim,0,4,A,rain,Hoffenheim
43,1290,D1,2011,2011-09-11,FC Koln,Nurnberg,1,2,A,rain,Nurnberg
44,1298,D1,2011,2011-09-11,Wolfsburg,Schalke 04,2,1,H,rain,
45,1327,D1,2011,2011-09-16,Freiburg,Stuttgart,1,2,A,none,
46,1188,D1,2011,2011-09-17,Leverkusen,FC Koln,1,4,A,none,
47,1340,D1,2011,2011-09-17,Nurnberg,Werder Bremen,1,1,D,none,
48,1430,D1,2011,2011-09-17,Kaiserslautern,Mainz,3,1,H,none,
49,1479,D1,2011,2011-09-17,Hoffenheim,Wolfsburg,3,1,H,none,
50,1488,D1,2011,2011-09-17,Hamburg,M'gladbach,0,1,A,none,
51,1629,D1,2011,2011-09-17,Hertha,Augsburg,2,2,D,none,
52,1100,D1,2011,2011-09-18,Schalke 04,Bayern Munich,0,2,A,rain,Bayern Munich
53,1118,D1,2011,2011-09-18,Hannover,Dortmund,2,1,H,rain,
54,1224,D1,2011,2011-09-23,Stuttgart,Hamburg,1,2,A,none,
55,1124,D1,2011,2011-09-24,Mainz,Dortmund,1,2,A,none,
56,1195,D1,2011,2011-09-24,Schalke 04,Freiburg,4,2,H,none,
57,1242,D1,2011,2011-09-24,Wolfsburg,Kaiserslautern,1,0,H,none,
58,1262,D1,2011,2011-09-24,Bayern Munich,Leverkusen,3,0,H,none,
