,2011_goals,2011_losses,2011_wins,name,win_rate_on_rainy_days
0,38,17,7,Hertha,0.029411764705882353
1,36,12,8,Augsburg,0.0
2,74,10,20,Schalke 04,0.08823529411764706
3,77,7,23,Bayern Munich,0.14705882352941177
4,47,13,9,Mainz,0.029411764705882353
5,49,8,17,M'gladbach,0.11764705882352941
6,63,11,15,Stuttgart,0.0
7,39,20,8,FC Koln,0.029411764705882353
8,49,14,11,Werder Bremen,0.029411764705882353
9,41,10,12,Hannover,0.0
10,38,16,12,Nurnberg,0.08823529411764706
11,45,14,10,Freiburg,0.058823529411764705
12,47,16,13,Wolfsburg,0.058823529411764705
13,52,10,15,Leverkusen,0.08823529411764706
14,24,19,4,Kaiserslautern,0.0
15,35,14,8,Hamburg,0.058823529411764705
16,41,13,10,Hoffenheim,0.058823529411764705
17,80,3,25,Dortmund,0.058823529411764705
